Plot_id,region,PHY,carbon_ton_ha,geog_phys_,zone,X,Y,lon,lat,dem,DISTRICT,STATE_CODE,trees/ha_second,trees/ha_first,BA_sqm_ha_second,BA_sqm_ha_first,bio_mass_ad_second,bio_mass_ad_first,crown_cover_second,crown_cover_first,date_first,date_second,duration
146-38-1,2,4&5,68.95291808,4,45,397965.7271,3049297.684,85.96641476,27.56369166,2796,RAMECHHAP,3,145.93,99.9139365,22.9794218,16.56998819,161.37917,118.3064191,70,37,2014,2019,1786
146-38-2,2,4&5,69.82221347,4,45,397965.7271,3049447.684,85.96640208,27.56504562,2760,RAMECHHAP,3,645.75,730.34435,26.89925736,22.26463767,163.4136911,138.2149895,79,70,2014,2019,1787
146-38-3,2,4&5,184.942561,4,45,397965.7271,3049597.684,85.9663894,27.56639958,2784,RAMECHHAP,3,530.4,631.7567047,43.23679933,37.15092743,432.8442917,349.0300019,88,77,2014,2019,1788
146-38-4,2,4&5,113.3954315,4,45,398265.7271,3049297.684,85.9694533,27.56371423,2930,RAMECHHAP,3,2056.95,1972.416052,43.37353194,39.06402344,265.3935631,203.174129,86,65,2014,2019,1788
146-38-5,2,4&5,152.3400489,4,45,398265.7271,3049447.684,85.96944065,27.56506819,2879,RAMECHHAP,3,1558.51,2345.545974,53.64177716,54.48246233,356.5405399,313.7123844,92,85,2014,2019,1788
146-46-1,2,4&5,108.7627269,4,45,398739.1817,3081288.335,85.97154409,27.85250448,2844,SINDHUPALCHOK,3,2834.58,#N/A,42.00632308,#N/A,254.5510628,#N/A,53,#N/A,#N/A,2021,#N/A
146-46-2,2,4&5,86.37757597,4,45,398739.1817,3081438.335,85.97153132,27.85385838,2763,SINDHUPALCHOK,3,3704.03,#N/A,38.74289376,#N/A,202.1602842,#N/A,57,#N/A,#N/A,2021,#N/A
146-46-3,2,4&5,98.44181181,4,45,398739.1817,3081588.335,85.97151854,27.85521229,2679,SINDHUPALCHOK,3,1369.27,#N/A,34.28133809,#N/A,230.3957298,#N/A,63,#N/A,#N/A,2021,#N/A
146-46-5,2,4&5,253.4980233,4,45,399039.1817,3081438.335,85.97457791,27.85388106,2710,SINDHUPALCHOK,3,2255.93,#N/A,59.70753961,#N/A,593.293246,#N/A,68,#N/A,#N/A,2021,#N/A
146-46-6,2,4&5,178.4562629,4,45,399039.1817,3081588.335,85.97456517,27.85523497,2654,SINDHUPALCHOK,3,242.97,#N/A,29.25318248,#N/A,417.6635939,#N/A,41,#N/A,#N/A,2021,#N/A
